t,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th
0,-7,15,0,-6,15,0,-5,15,0,-4,15,0,-3,15,0,-2,15,0,-1,15,0,0,15,0,1,15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
60,-7,15,0,-6,15,0,-5,15,0,-4,15,0,-3,15,0,-2,15,0,-1,15,0,0,15,0,1,15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
120,-7,15,0,-6,15,0,-5,15,0,-4,15,0,-3,15,0,-2,15,0,-1,15,0,0,15,0,1,15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
180,-7,15,0,-6,15,0,-5,15,0,-4,15,0,-3,15,0,-2,15,0,-1,15,0,0,15,0,1,15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
240,-7,15,0,-6,15,0,-5,15,0,-4,15,0,-3,15,0,-2,15,0,-1,15,0,0,15,0,1,15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
300,-7,15,0,-6,15,0,-5,15,0,-4,15,0,-3,15,0,-2,15,0,-1,15,0,0,15,0,1,15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
360,-16,-14,0,-16,-13,0,-5,15,0,-4,15,0,-3,15,0,-2,15,0,-1,15,0,0,15,0,1,15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
420,-16,-14,0,-16,-13,0,-5,15,0,-4,15,0,-3,15,0,-2,15,0,-1,15,0,0,15,0,1,15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
480,-16,-14,0,-16,-13,0,-5,15,0,-4,15,0,-3,15,0,-2,15,0,-1,15,0,0,15,0,1,15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
540,-16,-14,0,-16,-13,0,-5,15,0,-4,15,0,-3,15,0,-2,15,0,-1,15,0,0,15,0,1,15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
600,-16,-14,0,-16,-13,0,-5,15,0,-4,15,0,-3,15,0,-2,15,0,-1,15,0,0,15,0,1,15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
660,-16,-14,0,-16,-13,0,-10,-16,0,-11,-16,0,-12,-16,0,-2,15,0,-1,15,0,0,15,0,1,15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
720,-16,-14,0,-16,-13,0,-10,-16,0,-11,-16,0,-12,-16,0,-2,15,0,-1,15,0,0,15,0,1,15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
780,-16,-14,0,-16,-13,0,-10,-16,0,-11,-16,0,-12,-16,0,-2,15,0,-1,15,0,0,15,0,1,15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
