t,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th
0,-7,15,0,-6,15,0,-5,15,0,-4,15,0,-3,15,0,-2,15,0,-1,15,0,0,15,0,1,15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
300,-16,-2,0,-16,-1,0,-5,15,0,-4,15,0,-3,15,0,-2,15,0,-1,15,0,0,15,0,1,15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
600,-16,-2,0,-16,-1,0,-10,-16,0,-11,-16,0,-3,15,0,-2,15,0,-1,15,0,0,15,0,1,15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
1800,-16,-2,0,-16,-1,0,-10,-16,0,-11,-16,0,-12,-16,0,-8,-15,0,-9,-15,0,0,15,0,1,15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
2700,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-12,-16,0,-8,-15,0,-9,-15,0,0,15,0,1,15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
3600,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,2,0,-15,-2,0,-15,-1,0,0,15,0,1,15,0,2,15,0,3,15,0,4,15,0,-10,-14,0,6,15,0,7,15,0
4800,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,10,-16,0,14,-15,0,13,-15,0,0,15,0,1,15,0,2,15,0,3,15,0,4,15,0,-10,-14,0,6,15,0,7,15,0
5100,4,-8,0,3,-8,0,2,-8,0,1,-8,0,10,-16,0,14,-15,0,13,-15,0,0,15,0,1,15,0,2,15,0,3,15,0,4,15,0,-10,-14,0,-11,-14,0,-12,-14,0
6600,4,-8,0,3,-8,0,2,-8,0,1,-8,0,10,-16,0,14,-15,0,13,-15,0,-10,-15,0,-11,-15,0,2,15,0,3,15,0,4,15,0,-14,-12,0,-14,-11,0,-14,-10,0
6900,4,-8,0,3,-8,0,2,-8,0,1,-8,0,21,0,0,18,12,0,18,9,0,-10,-15,0,-11,-15,0,2,15,0,3,15,0,4,15,0,-14,-12,0,-14,-11,0,-14,-10,0
8700,21,12,0,21,9,0,21,6,0,21,3,0,21,0,0,18,12,0,18,9,0,-10,-15,0,-11,-15,0,2,15,0,3,15,0,4,15,0,-14,-12,0,-14,-11,0,-14,-10,0
9000,21,12,0,21,9,0,21,6,0,21,3,0,21,0,0,18,12,0,18,9,0,-15,0,0,-15,1,0,2,15,0,-14,-2,0,-14,-1,0,-14,-12,0,-14,-11,0,-14,-10,0
9300,21,12,0,21,9,0,21,6,0,21,3,0,21,0,0,18,12,0,18,9,0,-15,0,0,-15,1,0,2,15,0,-14,-2,0,-14,-1,0,2,-10,0,1,-10,0,0,-10,0
10200,21,12,0,21,9,0,21,6,0,21,3,0,21,0,0,18,12,0,18,9,0,-15,0,0,-15,1,0,-15,-10,0,-14,-2,0,-14,-1,0,2,-10,0,1,-10,0,0,-10,0
10800,21,12,0,21,9,0,21,6,0,21,3,0,21,0,0,18,12,0,18,9,0,-10,-15,0,-11,-15,0,-12,-15,0,-8,-14,0,-9,-14,0,2,-10,0,1,-10,0,0,-10,0
12300,21,12,0,21,9,0,21,6,0,21,3,0,21,0,0,18,12,0,18,9,0,-10,-15,0,-11,-15,0,-12,-15,0,-8,-14,0,-9,-14,0,15,6,0,15,3,0,15,0,0
13200,21,12,0,21,9,0,21,6,0,21,3,0,21,0,0,18,12,0,18,9,0,12,-15,0,11,-15,0,10,-15,0,14,-14,0,13,-14,0,15,6,0,15,3,0,15,0,0
15900,21,12,0,21,9,0,21,6,0,21,3,0,21,0,0,18,12,0,18,9,0,18,6,0,18,3,0,18,0,0,15,12,0,15,9,0,15,6,0,15,3,0,15,0,0
