_X,_Y,ID,TEXTSTRING
1053.74262,528.00000,1,A
578.25738,528.00000,2,B
1031.49262,526.00000,3,717167_1
1000.87035,642.49137,4,1
928.87035,650.78973,5,2
856.87035,650.72273,6,3
784.87035,650.65573,7,4
712.87035,650.56096,8,5
640.87035,638.79506,9,6
632.87035,639.99052,10,7
516.55038,210.47389,11,A
1116.55038,210.47389,12,B
2.38235,8.31250,13,A
2.79412,8.31250,14,B
2.08824,8.31250,15,#
1.08824,8.31250,16,#
1.79412,8.31250,17,B
1.38235,8.31250,18,A
2.00000,8.43750,19,A & B DISTANCES AS ENTERED
1060.56661,528.00000,20,A
571.43339,528.00000,21,B
