_X,_Y,ID,LAYER,ENTITY
72.00000,0.00000,124,COVER_HEM,LWPOLYLINE
71.85792,4.52092,124,COVER_HEM,LWPOLYLINE
71.43226,9.02399,124,COVER_HEM,LWPOLYLINE
70.72468,13.49145,124,COVER_HEM,LWPOLYLINE
69.73799,17.90567,124,COVER_HEM,LWPOLYLINE
68.47607,22.24922,124,COVER_HEM,LWPOLYLINE
66.94391,26.50497,124,COVER_HEM,LWPOLYLINE
65.14755,30.65611,124,COVER_HEM,LWPOLYLINE
63.09408,34.68626,124,COVER_HEM,LWPOLYLINE
60.79161,38.57953,124,COVER_HEM,LWPOLYLINE
58.24922,42.32054,124,COVER_HEM,LWPOLYLINE
55.47695,45.89453,124,COVER_HEM,LWPOLYLINE
52.48574,49.28739,124,COVER_HEM,LWPOLYLINE
49.28739,52.48574,124,COVER_HEM,LWPOLYLINE
45.89453,55.47695,124,COVER_HEM,LWPOLYLINE
42.32054,58.24922,124,COVER_HEM,LWPOLYLINE
38.57953,60.79161,124,COVER_HEM,LWPOLYLINE
34.68626,63.09408,124,COVER_HEM,LWPOLYLINE
30.65611,65.14755,124,COVER_HEM,LWPOLYLINE
26.50497,66.94391,124,COVER_HEM,LWPOLYLINE
22.24922,68.47607,124,COVER_HEM,LWPOLYLINE
17.90567,69.73799,124,COVER_HEM,LWPOLYLINE
13.49145,70.72468,124,COVER_HEM,LWPOLYLINE
9.02399,71.43226,124,COVER_HEM,LWPOLYLINE
4.52092,71.85792,124,COVER_HEM,LWPOLYLINE
-0.00000,72.00000,124,COVER_HEM,LWPOLYLINE
-4.52092,71.85792,124,COVER_HEM,LWPOLYLINE
-9.02399,71.43226,124,COVER_HEM,LWPOLYLINE
-13.49145,70.72468,124,COVER_HEM,LWPOLYLINE
-17.90567,69.73799,124,COVER_HEM,LWPOLYLINE
-22.24922,68.47607,124,COVER_HEM,LWPOLYLINE
-26.50497,66.94391,124,COVER_HEM,LWPOLYLINE
-30.65611,65.14755,124,COVER_HEM,LWPOLYLINE
-34.68626,63.09408,124,COVER_HEM,LWPOLYLINE
-38.57953,60.79161,124,COVER_HEM,LWPOLYLINE
-42.32054,58.24922,124,COVER_HEM,LWPOLYLINE
-45.89453,55.47695,124,COVER_HEM,LWPOLYLINE
-49.28739,52.48574,124,COVER_HEM,LWPOLYLINE
-52.48574,49.28739,124,COVER_HEM,LWPOLYLINE
-55.47695,45.89453,124,COVER_HEM,LWPOLYLINE
-58.24922,42.32054,124,COVER_HEM,LWPOLYLINE
-60.79161,38.57953,124,COVER_HEM,LWPOLYLINE
-63.09408,34.68626,124,COVER_HEM,LWPOLYLINE
-65.14755,30.65611,124,COVER_HEM,LWPOLYLINE
-66.94391,26.50497,124,COVER_HEM,LWPOLYLINE
-68.47607,22.24922,124,COVER_HEM,LWPOLYLINE
-69.73799,17.90567,124,COVER_HEM,LWPOLYLINE
-70.72468,13.49145,124,COVER_HEM,LWPOLYLINE
-71.43226,9.02399,124,COVER_HEM,LWPOLYLINE
-71.85792,4.52092,124,COVER_HEM,LWPOLYLINE
-72.00000,-0.00000,124,COVER_HEM,LWPOLYLINE
-71.85792,-4.52092,124,COVER_HEM,LWPOLYLINE
-71.43226,-9.02399,124,COVER_HEM,LWPOLYLINE
-70.72468,-13.49145,124,COVER_HEM,LWPOLYLINE
-69.73799,-17.90567,124,COVER_HEM,LWPOLYLINE
-68.47607,-22.24922,124,COVER_HEM,LWPOLYLINE
-66.94391,-26.50497,124,COVER_HEM,LWPOLYLINE
-65.14755,-30.65611,124,COVER_HEM,LWPOLYLINE
-63.09408,-34.68626,124,COVER_HEM,LWPOLYLINE
-60.79161,-38.57953,124,COVER_HEM,LWPOLYLINE
-58.24922,-42.32054,124,COVER_HEM,LWPOLYLINE
-55.47695,-45.89453,124,COVER_HEM,LWPOLYLINE
-52.48574,-49.28739,124,COVER_HEM,LWPOLYLINE
-49.28739,-52.48574,124,COVER_HEM,LWPOLYLINE
-45.89453,-55.47695,124,COVER_HEM,LWPOLYLINE
-42.32054,-58.24922,124,COVER_HEM,LWPOLYLINE
-38.57953,-60.79161,124,COVER_HEM,LWPOLYLINE
-34.68626,-63.09408,124,COVER_HEM,LWPOLYLINE
-30.65611,-65.14755,124,COVER_HEM,LWPOLYLINE
-26.50497,-66.94391,124,COVER_HEM,LWPOLYLINE
-22.24922,-68.47607,124,COVER_HEM,LWPOLYLINE
-17.90567,-69.73799,124,COVER_HEM,LWPOLYLINE
-13.49145,-70.72468,124,COVER_HEM,LWPOLYLINE
-9.02399,-71.43226,124,COVER_HEM,LWPOLYLINE
-4.52092,-71.85792,124,COVER_HEM,LWPOLYLINE
-0.00000,-72.00000,124,COVER_HEM,LWPOLYLINE
4.52092,-71.85792,124,COVER_HEM,LWPOLYLINE
9.02399,-71.43226,124,COVER_HEM,LWPOLYLINE
13.49145,-70.72468,124,COVER_HEM,LWPOLYLINE
17.90567,-69.73799,124,COVER_HEM,LWPOLYLINE
22.24922,-68.47607,124,COVER_HEM,LWPOLYLINE
26.50497,-66.94391,124,COVER_HEM,LWPOLYLINE
30.65611,-65.14755,124,COVER_HEM,LWPOLYLINE
34.68626,-63.09408,124,COVER_HEM,LWPOLYLINE
38.57953,-60.79161,124,COVER_HEM,LWPOLYLINE
42.32054,-58.24922,124,COVER_HEM,LWPOLYLINE
45.89453,-55.47695,124,COVER_HEM,LWPOLYLINE
49.28739,-52.48574,124,COVER_HEM,LWPOLYLINE
52.48574,-49.28739,124,COVER_HEM,LWPOLYLINE
55.47695,-45.89453,124,COVER_HEM,LWPOLYLINE
58.24922,-42.32054,124,COVER_HEM,LWPOLYLINE
60.79161,-38.57953,124,COVER_HEM,LWPOLYLINE
63.09408,-34.68626,124,COVER_HEM,LWPOLYLINE
65.14755,-30.65611,124,COVER_HEM,LWPOLYLINE
66.94391,-26.50497,124,COVER_HEM,LWPOLYLINE
68.47607,-22.24922,124,COVER_HEM,LWPOLYLINE
69.73799,-17.90567,124,COVER_HEM,LWPOLYLINE
70.72468,-13.49145,124,COVER_HEM,LWPOLYLINE
71.43226,-9.02399,124,COVER_HEM,LWPOLYLINE
71.85792,-4.52092,124,COVER_HEM,LWPOLYLINE
-72.00000,0.00000,119,ALIGNMENT_LINE,LINE
72.00000,0.00000,119,ALIGNMENT_LINE,LINE
