_X,_Y,ID,TEXTSTRING
108.77410,298.11011,1,B
584.26000,298.11011,2,A
562.34333,296.11011,3,717405_1
522.60151,350.31444,4,1
516.60151,349.92793,5,2
443.60151,415.17587,6,3
370.60151,459.47946,7,4
297.60151,435.06523,8,5
224.60151,442.63844,9,6
152.60151,422.38677,10,7
2.38235,8.31250,11,A
2.79412,8.31250,12,B
2.08824,8.31250,13,#
1.08824,8.31250,14,#
1.79412,8.31250,15,B
1.38235,8.31250,16,A
2.00000,8.43750,17,A & B DISTANCES AS ENTERED
101.95011,298.11011,18,B
591.08398,298.11011,19,A
453.80309,93.02435,20,B
208.70299,130.83886,21,A
